Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

Designator TARGET_MECHANICAL_5   -979.102mil  -1607.465mil      23798mil       9077mil   -979.102mil  -1607.465mil  T         90.00 Comment        
Designator TARGET_MECHANICAL_5   -979.102mil  -1607.465mil      23798mil      13940mil   -979.102mil  -1607.465mil  T         90.00 Comment        
Designator TARGET_MECHANICAL_5   -979.102mil  -1607.465mil      17911mil      13932mil   -979.102mil  -1607.465mil  T         90.00 Comment        
U1         VQ100_N              19924mil      10861mil      19924mil      10861mil  19626.756mil   11097.22mil  T          0.00 XCR3128XL-10VQ100C
U9         S8_N             20406.433mil  12724.976mil  20406.433mil  12724.976mil  20311.945mil  12799.976mil  T        360.00 LT1124CS8      
U12        182H_N           19956.433mil  12724.976mil  19956.433mil  12724.976mil  19861.945mil  12799.976mil  T        360.00 REF02AU        
U16        SO-16                19425mil      10051mil      19425mil      10051mil  19288.189mil      10226mil  T        270.00 PS2811-4       
U14        SMT_5X3.2mm          20798mil      11654mil      20753mil      11604mil      20843mil      11604mil  T         90.00 Oscillator     
U13        TQFP144_M            20089mil      11810mil      20089mil      11810mil  20433.488mil  12227.323mil  T        270.00 MC55110-CP     
U10        SOT223               22291mil      13114mil      22291mil      13114mil  22200.449mil  12991.953mil  T        360.00 ADP3338AKCZ-3.3RL7
U8         TQFN-6           19489.758mil  13233.758mil  19489.758mil  13233.758mil  19426.766mil   13271.16mil  T          0.00 MAX16820       
U7         TSSOP14              20919mil      12306mil      20919mil      12306mil  20809.748mil  12382.772mil  T        270.00 MAX1169        
U6         TQFN-6               20531mil      13235mil      20531mil      13235mil  20468.008mil  13272.401mil  T          0.00 MAX16820       
U5         TQFN-6               20003mil      13217mil      20003mil      13217mil  19940.008mil  13254.401mil  T          0.00 MAX16820       
U4         TO220-7            22615.5mil      11919mil      22539mil      11769mil      22539mil      11769mil  T         90.00 TLE5206-2      
U3         CM-BF5xx             21471mil      10568mil      21471mil      10568mil  21219.032mil   10910.52mil  T          0.00 CM-BF537E      
U2         QFN-28_(CP2102)      22428mil      11290mil      22428mil      11290mil  22329.575mil  11349.055mil  T          0.00 CP2102         
TP43       SMD_TEST_POINT       22650mil      12346mil      22650mil      12346mil      22650mil      12346mil  T        180.00 Test Point SMD 
TP42       SMD_TEST_POINT       22028mil      12074mil      22028mil      12074mil      22028mil      12074mil  T         90.00 Test Point SMD 
TP41       SMD_TEST_POINT       22790mil      12167mil      22790mil      12167mil      22790mil      12167mil  T        180.00 Test Point SMD 
TP40       SMD_TEST_POINT       22028mil      11789mil      22028mil      11789mil      22028mil      11789mil  T         90.00 Test Point SMD 
TP39       SMD_TEST_POINT       19715mil       9971mil      19715mil       9971mil      19715mil       9971mil  T         90.00 Test Point SMD 
TP38       SMD_TEST_POINT       19715mil      10171mil      19715mil      10171mil      19715mil      10171mil  T         90.00 Test Point SMD 
TP37       SMD_TEST_POINT       21285mil      11529mil      21285mil      11529mil      21285mil      11529mil  T         90.00 Test Point SMD 
