Level,item_number,reference_designator,Quantity
0,830-00011,none,
1,120-00008,"C1, C2",2
1,120-00002,C3,1
1,120-00001,"C4, C16, C17",3
1,120-00042,C11,1
1,120-00007,C13,1
1,120-00037,C14,1
1,120-00038,C15,1
1,120-00039,C18,1
1,120-00040,C19,1
1,120-00036,C20,1
1,140-00002,D1,1
1,140-00001,D2,1
1,145-00002,F1,1
1,145-00006,"F2, F3",2
1,125-00051,"J1, J2, J3, J4, J5, J6, J7, J9",8
1,125-00003,J8,1
1,125-00052,J10,1
1,155-00015,L2,1
1,155-00016,L3,1
1,125-00123,P1,1
1,125-00005,P2,1
1,125-00122,P3,1
1,195-00001,Q1,1
1,181-01002,"R1, R5",2
1,181-04751,"R2, R3, R4, R6, R7, R8, R9, R10, R13",9
1,181-04020,"R11, R12",2
1,181-02002,"R14, R15",2
1,181-04991,R16,1
1,181-02004,"R29, R35",2
1,181-03323,R30,1
1,181-04021,R31,1
1,181-03163,R32,1
1,181-01472,R33,1
1,181-01003,R34,1
1,181-07502,R36,1
1,181-02263,R37,1
1,181-06190,R38,1
1,181-05621,R39,1
1,181-09092,R40,1
1,160-00001,"TP1, TP2, TP3, TP5, TP7, TP9, TP11, TP12, TP13, TP14, TP15, TP16, TP17, TP18, TP19, TP20, TP21, TP22, TP23, TP24, TP25, TP26",22
1,830-00010,U1,1
1,150-00015,"U2, U3",2
1,150-00031,U4,1
1,150-00069,U21,1
1,150-00070,U22,1
1,150-00071,U23,1
1,810-00004,XU1,1
1,450-00002,XU1,3
1,175-00013,Bare PCB,1
