Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

P3         HDR_1X2_PHX_RT_ANGLE   4726.378mil   2394.685mil   4726.378mil   2394.685mil   4726.378mil   2469.685mil  T         90.00 Header 2 for screw term
F3         PolySwitch_RXEF050       4460mil       2973mil       4460mil       2973mil       4460mil       3073mil  T        270.00 Radial         
F2         PolySwitch_RXEF050       4497mil       3548mil       4497mil       3548mil       4497mil       3448mil  T         90.00 Radial         
TP26       SMD_TEST_POINT     3750.89mil   1708.638mil    3750.89mil   1708.638mil    3750.89mil   1708.638mil  T        270.00 Test Point SMD 
TP25       SMD_TEST_POINT     3716.89mil    349.638mil    3716.89mil    349.638mil    3716.89mil    349.638mil  T         90.00 Test Point SMD 
TP24       SMD_TEST_POINT      920.89mil   2000.638mil     920.89mil   2000.638mil     920.89mil   2000.638mil  T        180.00 Test Point SMD 
TP23       SMD_TEST_POINT      399.89mil    987.638mil     399.89mil    987.638mil     399.89mil    987.638mil  T         90.00 Test Point SMD 
TP22       SMD_TEST_POINT      972.89mil   2896.638mil     972.89mil   2896.638mil     972.89mil   2896.638mil  T        180.00 Test Point SMD 
TP21       SMD_TEST_POINT     4339.89mil   2244.638mil    4339.89mil   2244.638mil    4339.89mil   2244.638mil  T         90.00 Test Point SMD 
TP20       SMD_TEST_POINT      471.89mil   3170.638mil     471.89mil   3170.638mil     471.89mil   3170.638mil  T        180.00 Test Point SMD 
TP19       SMD_TEST_POINT      466.89mil   2199.638mil     466.89mil   2199.638mil     466.89mil   2199.638mil  T        180.00 Test Point SMD 
TP18       SMD_TEST_POINT      457.89mil   1229.638mil     457.89mil   1229.638mil     457.89mil   1229.638mil  T        180.00 Test Point SMD 
TP17       SMD_TEST_POINT      432.89mil    253.638mil     432.89mil    253.638mil     432.89mil    253.638mil  T        180.00 Test Point SMD 
TP16       SMD_TEST_POINT      478.89mil   3644.638mil     478.89mil   3644.638mil     478.89mil   3644.638mil  T        180.00 Test Point SMD 
TP15       SMD_TEST_POINT      457.89mil   2669.638mil     457.89mil   2669.638mil     457.89mil   2669.638mil  T        180.00 Test Point SMD 
TP14       SMD_TEST_POINT      459.89mil   1694.638mil     459.89mil   1694.638mil     459.89mil   1694.638mil  T        180.00 Test Point SMD 
TP13       SMD_TEST_POINT      441.89mil    717.638mil     441.89mil    717.638mil     441.89mil    717.638mil  T        180.00 Test Point SMD 
TP12       SMD_TEST_POINT      978.89mil   3443.638mil     978.89mil   3443.638mil     978.89mil   3443.638mil  T        180.00 Test Point SMD 
U22        S8_M                903.89mil   2415.638mil     903.89mil   2415.638mil     828.89mil   2319.181mil  T         90.00 LTC1144        
TP1        SMD_TEST_POINT      972.89mil   3051.638mil     972.89mil   3051.638mil     972.89mil   3051.638mil  T          0.00 Test Point SMD 
R16        SMD_0805           2568.89mil   2140.638mil    2568.89mil   2140.638mil    2523.89mil   2140.638mil  T        360.00 Res 0805       
R15        SMD_0805           2447.89mil   2403.638mil    2447.89mil   2403.638mil    2402.89mil   2403.638mil  T        360.00 Res 0805       
R14        SMD_0805           2662.89mil   2491.638mil    2662.89mil   2491.638mil    2617.89mil   2491.638mil  T        360.00 Res 0805       
Q1         SOT223_w/PowerPAD   2745.764mil   2313.638mil    2737.89mil   2313.638mil   2615.843mil   2404.189mil  T        270.00 NJT4031N       
C17        SMD_CAP_3216        906.89mil   2212.638mil     906.89mil   2212.638mil     851.89mil   2212.638mil  T        180.00 16V            
C16        SMD_CAP_3216        917.89mil   2643.638mil     917.89mil   2643.638mil     862.89mil   2643.638mil  T        180.00 16V            
C4         SMD_CAP_3216       2565.89mil   2045.638mil    2565.89mil   2045.638mil    2620.89mil   2045.638mil  T        360.00 16V            
C3         SMD_0805           2570.89mil   1938.638mil    2570.89mil   1938.638mil    2525.89mil   1938.638mil  T        360.00 Cap SMD        
R29        SMD_0805               965mil        740mil        965mil        740mil        965mil        695mil  B         90.00 Res 0805       
C14        SMD_0805               670mil        898mil        670mil        898mil        715mil        898mil  B        180.00 Cap SMD        
R34        SMD_0805               665mil        810mil        665mil        810mil        620mil        810mil  B        360.00 Res 0805       
D1         SMC                    965mil        620mil        965mil        620mil    828.189mil        620mil  T        360.00 SL43-E3/57T    
TP2        SMD_TEST_POINT      983.89mil   3631.638mil     983.89mil   3631.638mil     983.89mil   3631.638mil  T        360.00 Test Point SMD 
C13        SMD_0805              1070mil        300mil       1070mil        300mil       1070mil        345mil  T        270.00 16V            
C15        SMD_0805               870mil        890mil        870mil        890mil        825mil        890mil  T        360.00 25V            
R32        SMD_0805               660mil        810mil        660mil        810mil        705mil        810mil  T        180.00 Res 0805       
L2         Inductor_TDC_SLF        875mil        370mil        875mil        370mil        875mil    495.984mil  T          0.00 445-3869-1-ND  
R30        SMD_0805              1070mil        805mil       1070mil        805mil       1115mil        805mil  T        180.00 Res 0805       
R31        SMD_0805              1070mil        885mil       1070mil        885mil       1115mil        885mil  T        180.00 Res 0805       
U21        DD12/DFN12         817.087mil    790.709mil        760mil        835mil        760mil        835mil  T          0.00 LT3682         
R33        SMD_0805               665mil        900mil        665mil        900mil        620mil        900mil  T        360.00 Res 0805       
C11        SMD_0805               720mil        635mil        720mil        635mil        720mil        590mil  T         90.00 Cap SMD        
R37        SMD_0805           953.173mil   1362.213mil    953.173mil   1362.213mil    953.173mil   1407.213mil  B        270.00 Res 0805       
R35        SMD_0805           883.173mil   1252.213mil    883.173mil   1252.213mil    928.173mil   1252.213mil  B        180.00 Res 0805       
R40        SMD_0805           699.173mil   1274.213mil    699.173mil   1274.213mil    699.173mil   1229.213mil  T         90.00 Res 0805       
C20        SMD_0805          1018.173mil   1257.213mil   1018.173mil   1257.213mil    973.173mil   1257.213mil  T        360.00 Cap SMD        
R36        SMD_0805          1018.173mil   1387.213mil   1018.173mil   1387.213mil    973.173mil   1387.213mil  T        360.00 Res 0805       
C19        SMD_1206               977mil       1465mil        977mil       1465mil        922mil       1465mil  T        360.00 Low ESR        
