Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

Designator TARGET_MECHANICAL_5  -9866.142mil -10306.299mil       6218mil       5401mil  -9866.142mil -10306.299mil  T        360.00 Comment        
Designator TARGET_MECHANICAL_5  -9866.142mil -10306.299mil       -761mil       5318mil  -9866.142mil -10306.299mil  T        360.00 Comment        
Designator TARGET_MECHANICAL_5  -9866.142mil -10306.299mil       -778mil      -1854mil  -9866.142mil -10306.299mil  T        360.00 Comment        
SW1        SMD_DIP_GULL_WING_16PIN   3120.464mil    3933.37mil   3470.464mil    3763.87mil   3470.464mil    3763.87mil  B         90.00 SW-SPST-8POS   
R27        SMD_0805          5590.551mil    3986.22mil   5590.551mil    3986.22mil   5590.551mil    4031.22mil  B        270.00 Res SMD        
R26        SMD_0805          5344.488mil    3986.22mil   5344.488mil    3986.22mil   5344.488mil    4031.22mil  B        270.00 Res SMD        
R25        SMD_0805          4862.205mil    3986.22mil   4862.205mil    3986.22mil   4862.205mil    4031.22mil  B        270.00 Res SMD        
R24        SMD_0805          5098.425mil    3986.22mil   5098.425mil    3986.22mil   5098.425mil    4031.22mil  B        270.00 Res SMD        
R23        SMD_0805          4635.827mil    3986.22mil   4635.827mil    3986.22mil   4635.827mil    4031.22mil  B        270.00 Res SMD        
R22        SMD_0805          4005.905mil   4064.961mil   4005.905mil   4064.961mil   4005.905mil   4109.961mil  B        270.00 Res SMD        
C58        SMD_CAP_3216      3787.999mil    898.001mil       3788mil        898mil   3787.999mil    953.001mil  B         90.00 15V            
C2         SMD_0805           313.151mil   3664.253mil     313.15mil   3664.252mil    313.151mil   3619.253mil  B         90.00 Cap SMD        
C35        SMD_0805              1100mil   1499.999mil       1100mil       1500mil       1145mil   1499.999mil  B        180.00 Cap SMD        
C36        SMD_0805           849.999mil       1700mil        850mil       1700mil    849.999mil       1655mil  B         90.00 Cap SMD        
C3B        SMD_0805          3285.606mil   1832.055mil   3285.606mil   1832.055mil   3240.606mil   1832.055mil  B        360.00 Cap            
C3C        SMD_0805          4336.788mil   1832.055mil   4336.787mil   1832.055mil   4291.788mil   1832.055mil  B        360.00 Cap            
