Added Parameter Manufacturer= to Part C7
Added Parameter Manufacturer= to Part C35
Added Parameter Manufacturer= to Part C36
Added Parameter Manufacturer= to Part D1
Added Parameter Manufacturer= to Part D2
Added Parameter Manufacturer= to Part D3
Added Parameter Manufacturer= to Part D4
Added Parameter Manufacturer= to Part D5
Added Parameter Manufacturer= to Part D6
Added Parameter Manufacturer= to Part R22
Added Parameter Manufacturer= to Part R23
Added Parameter Manufacturer= to Part R24
Added Parameter Manufacturer= to Part R25
Added Parameter Manufacturer= to Part R26
Added Parameter Manufacturer= to Part R27
Added Parameter Manufacturer= to Part SW1
Added Parameter Manufacturer= to Part TP8
Added Parameter Manufacturer= to Part TP19
Added Parameter Manufacturer= to Part TP20
Added Parameter Manufacturer= to Part TP21
Added Parameter Manufacturer= to Part TP22
Added Parameter Manufacturer= to Part TP23
Added Parameter Manufacturer= to Part TP24
Added Parameter Manufacturer= to Part TP26
Added Parameter Manufacturer= to Part U8
Added Parameter Manufacturer= to Part U9
Added Parameter Manuf p/n= to Part C7
Added Parameter Manuf p/n= to Part C35
Added Parameter Manuf p/n= to Part C36
Added Parameter Manuf p/n= to Part D1
Added Parameter Manuf p/n= to Part D2
Added Parameter Manuf p/n= to Part D3
Added Parameter Manuf p/n= to Part D4
Added Parameter Manuf p/n= to Part D5
Added Parameter Manuf p/n= to Part D6
Added Parameter Manuf p/n= to Part R22
Added Parameter Manuf p/n= to Part R23
Added Parameter Manuf p/n= to Part R24
Added Parameter Manuf p/n= to Part R25
Added Parameter Manuf p/n= to Part R26
Added Parameter Manuf p/n= to Part R27
Added Parameter Manuf p/n= to Part SW1
Added Parameter Manuf p/n= to Part TP8
Added Parameter Manuf p/n= to Part TP19
Added Parameter Manuf p/n= to Part TP20
Added Parameter Manuf p/n= to Part TP21
Added Parameter Manuf p/n= to Part TP22
Added Parameter Manuf p/n= to Part TP23
Added Parameter Manuf p/n= to Part TP24
Added Parameter Manuf p/n= to Part TP26
Added Parameter Manuf p/n= to Part U8
Added Parameter Manuf p/n= to Part U9
