Designator	Value	Quantity	Manufacturer	Manuf p/n	Vendor	Vendor p/n	COST	Footprint

"C1A"	"150pF"	"1"	"AVX"	"08055A151JAT2A"	"DigiKey"	"478-1318-1-ND"	"0.11"	"SMD_0805"
"C1B"	"150pF"	"1"	"AVX"	"08055A151JAT2A"	"DigiKey"	"478-1318-1-ND"	"0.11"	"SMD_0805"
"C1C"	"150pF"	"1"	"AVX"	"08055A151JAT2A"	"DigiKey"	"478-1318-1-ND"	"0.11"	"SMD_0805"
"C1D"	"150pF"	"1"	"AVX"	"08055A151JAT2A"	"DigiKey"	"478-1318-1-ND"	"0.11"	"SMD_0805"
"C2"	"0.1uF"	"1"	"AVX"	"08055C104KAT2A"	"DigiKey"	"478-1395-1-ND"	"0.088"	"SMD_0805"
"C3A"	"0.1uF"	"1"	"AVX"	"08055C104KAT2A"	"DigiKey"	"478-1395-1-ND"	"0.088"	"SMD_0805"
"C3B"	"0.1uF"	"1"	"AVX"	"08055C104KAT2A"	"DigiKey"	"478-1395-1-ND"	"0.088"	"SMD_0805"
"C3C"	"0.1uF"	"1"	"AVX"	"08055C104KAT2A"	"DigiKey"	"478-1395-1-ND"	"0.088"	"SMD_0805"
"C3D"	"0.1uF"	"1"	"AVX"	"08055C104KAT2A"	"DigiKey"	"478-1395-1-ND"	"0.088"	"SMD_0805"
"C4A"	"0.1uF"	"1"	"AVX"	"08055C104KAT2A"	"DigiKey"	"478-1395-1-ND"	"0.088"	"SMD_0805"
"C4B"	"0.1uF"	"1"	"AVX"	"08055C104KAT2A"	"DigiKey"	"478-1395-1-ND"	"0.088"	"SMD_0805"
"C4C"	"0.1uF"	"1"	"AVX"	"08055C104KAT2A"	"DigiKey"	"478-1395-1-ND"	"0.088"	"SMD_0805"
"C4D"	"0.1uF"	"1"	"AVX"	"08055C104KAT2A"	"DigiKey"	"478-1395-1-ND"	"0.088"	"SMD_0805"
"C5A"	"0.1uF"	"1"	"AVX"	"08055C104KAT2A"	"DigiKey"	"478-1395-1-ND"	"0.088"	"SMD_0805"
"C5B"	"0.1uF"	"1"	"AVX"	"08055C104KAT2A"	"DigiKey"	"478-1395-1-ND"	"0.088"	"SMD_0805"
"C5C"	"0.1uF"	"1"	"AVX"	"08055C104KAT2A"	"DigiKey"	"478-1395-1-ND"	"0.088"	"SMD_0805"
"C5D"	"0.1uF"	"1"	"AVX"	"08055C104KAT2A"	"DigiKey"	"478-1395-1-ND"	"0.088"	"SMD_0805"
