Level,item_number,reference_designator,Quantity
0,830-00009,none,1
1,120-00002,"C1, C3, C5, C6, C7, C9, C10, C11, C13, C14, C15, C16, C17, C22, C27, C28",16
1,120-00006,"C2, C4, C8, C12, C23",5
1,120-00022,"C18, C19, C24, C25, C26",5
1,120-00010,"C20, C21",2
1,120-00006,C29,1
1,140-00009,"D3, D4, D5, D6, D7, D8",6
1,145-00004,"F1, F2",2
1,125-00047,"P1, P8, P9, P10, P12",5
1,125-00098,P2,1
1,125-00098,P3,1
1,125-00046,"P4, P5, P6, P7",4
1,125-00037,"P11, P13",2
1,150-00072,"Q1, Q3",2
1,195-00001,"Q2, Q4",2
1,181-08252,R1,1
1,181-01132,"R2, R18",2
1,180-00004,"R3, R5, R12, R14",4
1,181-01203,R4,1
1,181-07322,R6,1
1,181-08201,R7,1
1,181-01002,"R8, R10, R20",3
1,181-04992,"R9, R19",2
1,181-08452,R11,1
1,181-02262,R13,1
1,181-01001,R15,1
1,181-07501,R16,1
1,181-06982,R17,1
1,181-04991,R21,1
1,181-01333,R22,1
1,181-01211,R23,1
1,160-00001,"TP1, TP2, TP3, TP4, TP5, TP7, TP8, TP9, TP10, TP11, TP12, TP13, TP15, TP16, TP17, TP18, TP19, TP20, TP21, TP22, TP23, TP24, TP25, TP26, TP27, TP28, TP29, TP30, TP31",29
1,150-00073,"U1, U6",2
1,150-00074,"U2, U7",2
1,150-00086,U3,1
1,150-00067,"U4, U5, U8, U9",4
1,175-00014,PCB,1
