Level,item_number,reference_designator,Quantity
0,830-00009,,
1,120-00022,"C18, C19, C24, C25, C26",5
1,120-00010,"C20, C21",2
1,140-00009,"D3, D4, D5, D6, D7, D8",6
1,125-00047,"P1, P8, P9, P10, P12",5
1,125-00098,P2,1
1,125-00048,P3,1
1,125-00046,"P4, P5, P6, P7",4
1,125-00121,P11,1
1,125-00037,"P13, P16",2
1,125-00110,"P14, P15",2
1,195-00008,"Q1, Q2, Q3, Q4, Q5, Q6",6
1,181-02001,"R1, R2, R3, R4, R5, R6",6
1,181-01002,R23,1
1,160-00001,"TP15, TP16, TP17, TP18, TP22, TP23, TP24, TP25, TP26, TP27, TP28, TP29, TP30, TP31",14
