Level,item_number,reference_designator,Quantity
0,830-00037,None,1
1,120-00054,"C1A, C1B, C1C, C1D",4
1,120-00055,"C2A, C2B, C2C, C2D",4
1,125-00184,CCD1,54
1,125-00037,P1,1
1,125-00054,P2,1
1,150-00094,"Q1A, Q1B, Q1C, Q1D",4
1,181-03011,"R1A, R1B, R1C, R1D",4
1,181-01003,"R2, R3",2
1,185-00024,SW1,1
1,160-00001,"TP1A, TP1B, TP1C, TP1D, TP2A, TP2B, TP2C, TP2D, TP3A, TP3B, TP3C, TP3D, TP4, TP5, TP6, TP7, TP8, TP9, TP10, TP11, TP12, TP13, TP14",23
1,150-00028,"U1A, U1B, U1C, U1D",4
1,175-00043,Bare PCB,1
