Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

           fid                    300mil        900mil        300mil        900mil        300mil        900mil  T        360.00                
           fid                   5700mil        140mil       5700mil        140mil       5700mil        140mil  T        360.00                
           fid                    300mil       4100mil        300mil       4100mil        300mil       4100mil  T        360.00                
U20        SOT-23                5250mil       1500mil       5250mil       1500mil   5200.787mil   1537.402mil  T        270.00 DS2411R        
U7         SOT23             5009.213mil   3897.598mil       4960mil       3935mil       4960mil       3935mil  T        360.00 PGB102ST323WR  
J4         USB_B_right_angle   5407.677mil   4005.906mil   5314.961mil   4055.118mil   5314.961mil   4055.118mil  T         90.00 USB_B          
U15        TQFP_64               1819mil     3764.5mil       1490mil       4000mil       1490mil       4000mil  T          0.00 72V2105        
U16        TQFP_64               1829mil     2814.5mil       1500mil       3050mil       1500mil       3050mil  T          0.00 72V2105        
U19        TQFP_64               2929mil     2814.5mil       2600mil       3050mil       2600mil       3050mil  T          0.00 72V2105        
JP2        HEADER8X1             2100mil       1815mil       2100mil       2165mil       2100mil       2165mil  T         90.00 Header 5       
U27        DDPAK5                 916mil   1430.285mil       1050mil       1600mil       1050mil   1600.294mil  T        180.00 LT1963AEQ-2.5V 
U18        TQFP_64               2929mil     3764.5mil       2600mil       4000mil       2600mil       4000mil  T          0.00 IDT72V2111L15PF
U11        TQFP-128          4184.725mil   3584.673mil       4495mil       3220mil       4495mil       3220mil  T        180.00 CY7C68013A-128AXC
J1         QMS_EDGE_PWR_PINS   2952.756mil    448.819mil   2952.756mil    393.701mil   4105.206mil    462.849mil  T         90.00 QMS_EDGE_PWR_PINS
U9         FBGA256-2C        2925.276mil   1719.724mil       2630mil       2015mil       2630mil       2015mil  T        360.00 EP3C16F256C6   
U13        S-PVQFN-G32           3810mil       1170mil       3810mil       1170mil    3717.48mil   1238.898mil  T        360.00 CDCLVD110ARHBT 
U22        SO-14             1811.142mil   1994.567mil   1921.142mil   1844.567mil   1921.142mil   1844.567mil  T        180.00 74ALVC125-DC   
U10        SO-14                 4020mil       1930mil       4130mil       1780mil       4130mil       1780mil  T        180.00 74ALVC125-DC   
U24        SO-14                  955mil       3160mil        805mil       3050mil        805mil       3050mil  T         90.00 74ALVC125-DC   
U17        SO-14                  460mil       2450mil        570mil       2300mil        570mil       2300mil  T        180.00 74ALVC125-DC   
U44        SO-14             1374.961mil   1994.567mil   1484.961mil   1844.567mil   1484.961mil   1844.567mil  T        180.00 74ALVC125-DC   
U26        DDPAK5                 416mil   1430.285mil        550mil       1600mil        550mil   1600.294mil  T        180.00 LT1963AEQ#PBF  
U1         SO-8                  4005mil       2375mil       4115mil       2300mil       4115mil       2300mil  T        180.00 INA122         
U28        SO-8                  5225mil       1790mil       5300mil       1900mil       5300mil       1900mil  T        270.00 INA122         
U32        SO-8                   940mil       2475mil       1050mil       2400mil       1050mil       2400mil  T        180.00 INA122         
J5         HEADER5X2             5650mil       2450mil       5600mil       2650mil       5600mil       2650mil  T        270.00 HEADER5X2      
J3         HEADER5X2             5650mil       1900mil       5600mil       2100mil       5600mil       2100mil  T        270.00 AMP5103310-01  
J8         Molex_70543-0002       5650mil       1350mil       5650mil       1250mil       5650mil       1250mil  T        180.00 CON3           
J6         HDR2X7                5650mil       3200mil       5600mil       3500mil       5600mil       3500mil  T        270.00 AMP5103310-02  
