Change Value of Parameter COST in Part R2 Old= New=0.081
Change Value of Parameter Manuf p/n in Part R2 Old= New=CRCW060324R9FKEA
Change Value of Parameter Vendor p/n in Part R2 Old= New=541-24.9HCT-ND
Change Value of Parameter Manuf p/n in Part R19 Old= New=CRCW0603220RFKEA
Change Value of Parameter Vendor p/n in Part R19 Old= New=541-220HCT-ND
Change Value of Parameter Manuf p/n in Part R20 Old= New=CRCW0603330RFKEA
Change Value of Parameter Vendor p/n in Part R20 Old= New=541-330HCT-ND
Change Value of Parameter Manuf p/n in Part R23 Old= New=CRCW0603100RFKEA
Change Value of Parameter Vendor p/n in Part R23 Old= New=541-100HCT-ND
Change Value of Parameter Manuf p/n in Part R33 Old= New=CRCW0805390RFKEA
Change Value of Parameter Vendor p/n in Part R33 Old= New=541-390CCT-ND
Change Value of Parameter Manuf p/n in Part R34 Old= New=CRCW0805390RFKEA
Change Value of Parameter Vendor p/n in Part R34 Old= New=541-390CCT-ND
Change Value of Parameter Manuf p/n in Part R35 Old= New=CRCW0805390RFKEA
Change Value of Parameter Vendor p/n in Part R35 Old= New=541-390CCT-ND
Change Value of Parameter Manuf p/n in Part R36 Old= New=CRCW0805390RFKEA
Change Value of Parameter Vendor p/n in Part R36 Old= New=541-390CCT-ND
Change Value of Parameter Manuf p/n in Part R37 Old= New=CRCW0805390RFKEA
Change Value of Parameter Vendor p/n in Part R37 Old= New=541-390CCT-ND
Change Value of Parameter Manuf p/n in Part R38 Old= New=CRCW0805390RFKEA
Change Value of Parameter Vendor p/n in Part R38 Old= New=541-390CCT-ND
Change Value of Parameter COST in Part R43 Old= New=0.081
Change Value of Parameter Manuf p/n in Part R43 Old= New=CRCW060322R0FKEA
Change Value of Parameter Vendor p/n in Part R43 Old= New=541-22.0HCT-ND
