Quantity,Value,Designator,Footprint,Manuf p/n,Manufacturer,Vendor,Vendor p/n

"15","10uF","C1, C29, C31, C69, C70, C77, C78, C101, C102, C109, C111, C112, C126, C127, C136","3216-18","T491A106K006AT","Kemet","DigiKey","399-3683-1-ND"
"1","1uF","C2","1206","GRM31CR71H105KA61L","Murata","DigiKey","490-3908-1-ND"
"104","0.1uF","C3, C5, C7, C9, C10, C11, C12, C15, C18, C20, C22, C23, C24, C25, C26, C27, C28, C30, C33, C34, C35, C36, C39, C42, C43, C44, C45, C47, C48, C49, C50, C51, C52, C53, C57, C58, C59, C60, C61, C62, C63, C64, C65, C66, C67, C68, C71, C72, C73, C74, C75, C76, C79, C80, C81, C82, C83, C84, C85, C86, C87, C88, C89, C90, C91, C92, C93, C94, C95, C96, C97, C98, C99, C100, C103, C105, C106, C108, C113, C114, C115, C116, C117, C118, C119, C120, C121, C122, C123, C124, C125, C128, C129, C130, C131, C132, C133, C134, C135, C137, C138, C140, C141, C142","0603","GRM188R71H104KA93D","Murata","DigiKey","490-1519-1-ND"
"5","0.15uF","C4, C6, C16, C17, C19","0805","GRM21BR71H154KA01L","Murata","DigiKey","490-1667-1-ND"
"1","1000pF","C8","0603","GRM1885C1H102JA01D","Murata","DigiKey","490-1451-1-ND"
"6","22uF","C13, C32, C40, C41, C55, C56","6032-28","T491C226K010AT","Kemet","DigiKey","399-3743-1-ND"
"4","10pF","C14, C21, C46, C54","0603","GRM1885C1H100JA01D","Murata","DigiKey","490-1403-1-ND"
"2","0.01uF","C37, C38","0603","GRM188R71H103KA01D","Murata","DigiKey","490-1512-1-ND"
"2","47uF","C104, C107","6032-28","T491C476K010AT","Kemet","DigiKey","399-3757-1-ND"
"1","0.47uF","C110","0805","GRM21BR71H474KA88L","Murata","DigiKey","490-3328-1-ND"
"1","MMBD914","D1","SOT23A","MMBD914","Fairchild","DigiKey","MMBD914FSCT-ND"
"2","SML10G4-TR","D2, D5","LED J-LEAD","","","",""
"2","BAT54C-V","D3, D4","BAT54C-V","","","",""
"1","QMS_EDGE_PWR_PINS","J1","QMS EDGE PWR PINS","","","",""
"1","QMSS-EM-PC4","J2","QMS EDGE PWR PINS","QMSS-078-01-L-D-EM2-PC4","SAMTEC","SAMETC","QMSS-078-01-L-D-EM2-PC4"
"1","AMP5103310-01","J3","HEADER5X2","","","",""
"1","USB_B","J4","USB_B right angle","","","",""
"1","HEADER5X2","J5","HEADER5X2","","","",""
"1","AMP5103310-02","J6","HDR2X7","","","",""
"1","CON3","J8","Molex 70543-0002","","","",""
"1","HEADER8X1","JP1","HEADER8X1","","","",""
"1","Header 5","JP2","HEADER8X1","","","",""
"4","56uHn","L1, L3, L4, L7","1812","B82432T1563K","","DigiKey","495-1982-1-ND"
"2","600R","L2, L5","1206","74279218","Wurth","DigiKey","732-1623-1-ND"
"1","3.3 uHn","L6","MSS7341","SD7030-3R3-R","Coiltronics","DigiKey","513-1481-1-ND"
"9","10K","R1, R9, R10, R13, R17, R21, R31, RN1, RN4","0603, EXB-38V, EXB-38Vn","CRCW060310K0FKEA, EXB-38V103JV","Panasonic, Vishay","DigiKey","541-10.0KHCT-ND, Y9103CT-ND"
"1","24R9","R2","0603","CRCW060324R9FKEA","Vishay","DigiKey","541-24.9HCT-ND"
"4","100K","R3, R14, R18, R32","0603","CRCW0603100KFKEA","Vishay","DigiKey","541-100KHCT-ND"
