Level,item_number,reference_designator,Quantity
0,830-00001,,1
1,175-00002,Bare PCB,1
1,120-00025,"C1A, C1B, C1C, C1D, C1E, C1F, C1G, C1H, C1I, C1J, C1K, C1L, C1M, C1N, C1O, C3A, C3B, C3C, C3D, C3E, C3F, C3G, C3H, C3I, C3J, C3K, C3L, C3M, C3N, C3O, C5A, C5B, C5C, C5D, C8A, C8B, C8C, C8D",38
1,120-00002,"C2A, C2B, C2C, C2D, C2E, C2F, C2G, C2H, C2I, C2J, C2K, C2L, C2M, C2N, C2O, C4A, C4B, C4C, C4D, C4E, C4F, C4G, C4H, C4I, C4J, C4K, C4L, C4M, C4N, C4O, C6A, C6B, C6C, C6D, C9A, C9B, C9C, C9D, C9E, C9F, C11A, C11B, C11C, C11D, C11E, C11F, C12, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C31, C33, C34, C35, C36, C37A, C37B, C37C, C37D, C39, C40, C41, C42, C43, C44A, C44B, C44C, C44D, C44E, C44F, C45, C46, C47, C56",86
1,120-00001,"C7, C13A, C13B, C13C, C13D, C13E, C13F, C14A, C14B, C14C, C14D, C14E, C14F, C32, C53, C54, C55, C57, C58",19
1,120-00033,"C10A, C10B, C10C, C10D, C10E, C10F, C15A, C15B, C15C, C15D, C15E, C15F",12
1,120-00010,C59,1
1,140-00006,"D1A, D1B, D1C, D1D, D2A, D2B, D2C, D2D",8
1,125-00023,J1,1
1,183-00002,K1,1
1,155-00010,"L1A, L1B, L1C, L1D, L1E, L1F, L1G, L1H, L1I, L1J, L1K, L1L, L1M, L1N, L1O, L2A, L2B, L2C, L2D, L2E, L2F, L2G, L2H, L2I, L2J, L2K, L2L, L2M, L2N, L2O, L3A, L3B, L3C, L3D, L4A, L4B, L4C, L4D",38
1,155-00005,L5,1
1,125-00010,P1,1
1,125-00012,P2,1
1,125-00011,P3,1
1,195-00001,"Q1A, Q1B, Q1C, Q1D, Q1E, Q1F, Q3, Q4, Q5",9
1,195-00007,"Q2A, Q2B, Q2C, Q2D, Q2E, Q2F",6
1,195-00004,Q6,1
1,195-00008,Q7,1
1,181-01500,"R1A, R1B, R1C, R1D, R1E, R1F, R1G, R1H, R1I, R1J, R1K, R1L, R1M, R1N, R1O, R3A, R3B, R3C, R3D, R6A, R6B, R6C, R6D",23
1,181-049R9,"R2A, R2B, R2C, R2D, R2E, R2F, R2G, R2H, R2I, R2J, R2K, R2L, R2M, R2N, R2O",15
1,180-00033,"R4A, R4B, R4C, R4D",4
1,181-068R1,"R5A, R5B, R5C, R5D",4
1,181-01501,"R7A, R7B, R7C, R7D, R7E, R7F, R13A, R13B, R13C, R13D, R13E, R13F, R16",13
1,181-01001,"R8A, R8B, R8C, R8D, R8E, R8F, R10A, R10B, R10C, R10D, R10E, R10F, R11, R14A, R14B, R14C, R14D, R14E, R14F, R28, R40, R45, R46",23
1,181-02491,"R9A, R9B, R9C, R9D, R9E, R9F",6
1,181-010R0,"R12A, R12B, R12C, R12D, R12E, R12F, R20A, R20B, R20C, R20D, R20E, R20F, R30, R33, R39",15
1,180-00067,R15,1
1,181-02492,"R17A, R17B, R17C, R17D, R17E, R17F",6
1,180-00075,R18,1
1,181-04991,"R19, R49, R50, R51, R52",5
1,180-00056,R21,1
1,181-01101,R22,1
1,181-01002,"R23A, R23B, R23C, R23D, R23E, R23F, R42, R43",8
1,180-00040,R24,1
1,181-03651,R25,1
1,181-01131,R26,1
1,181-08251,R27,1
1,181-04021,R29,1
1,181-02261,R31,1
1,181-01821,R32,1
1,180-00050,R34,1
1,181-02801,R35,1
1,181-06651,"R36, R38",2
1,181-02611,R37,1
1,180-00058,R41,1
1,180-00036,R44,1
1,181-01003,"R47, R48",2
1,180-00043,RN1,1
1,160-00001,"TP1A, TP1B, TP1C, TP1D, TP1E, TP1F, TP2A, TP2B, TP2C, TP2D, TP2E, TP2F, TP3A, TP3B, TP3C, TP3D, TP3E, TP3F, TP3G, TP3H, TP3I, TP3J, TP3K, TP3L, TP3M, TP3N, TP3O, TP4A, TP4B, TP4C, TP4D, TP5, TP6, TP7, TP8, TP9, TP10, TP11, TP12, TP13, TP14, TP15, TP16, TP17, TP18, TP19, TP20, TP21",48
1,150-00044,"U1A, U1B, U1C, U1D, U1E, U1F, U1G, U1H, U1I, U1J, U1K, U1L, U1M, U1N, U1O, U4A, U4B, U4C, U4D",19
1,150-00032,"U2A, U2B, U2C, U2D, U2E, U2F, U2G, U2H, U2I, U2J, U2K, U2L, U2M, U2N, U2O, U5A, U5B, U5C, U5D, U7A, U7B, U7C, U7D",23
1,150-00042,"U3A, U3B, U3C, U3D, U3E, U3F, U3G, U3H, U3I, U3J, U3K, U3L, U3M, U3N, U3O, U6A, U6B, U6C, U6D",19
1,150-00006,"U8A, U8B, U8C, U8D, U8E, U8F, U11, U12, U14, U18",10
1,150-00035,U9,1
1,150-00037,U10,1
1,150-00049,"U13, U16",2
1,150-00038,U15,1
1,150-00030,U19,1
1,150-00039,"U20A, U20B, U20C, U20D, U20E, U20F",6
