Level,item_number,Quantity,reference_designator
0,830-00015,1,
1,175-00019,1,Bare PCB
1,120-00037,24,"C1A, C1B, C1C, C1D, C1E, C1F, C1G, C1H, C1I, C1J, C1K, C1L, C3A, C3B, C3C, C3D, C3E, C3F, C3G, C3H, C3I, C3J, C3K, C3L"
1,120-00002,12,"C2A, C2B, C2C, C2D, C2E, C2F, C2G, C2H, C2I, C2J, C2K, C2L"
1,120-00001,1,C4
1,155-00017,12,"L1A, L1B, L1C, L1D, L1E, L1F, L1G, L1H, L1I, L1J, L1K, L1L"
1,125-00057,1,P1
1,195-00008,12,"Q1A, Q1B, Q1C, Q1D, Q1E, Q1F, Q1G, Q1H, Q1I, Q1J, Q1K, Q1L"
1,181-02702,12,"R1A, R1B, R1C, R1D, R1E, R1F, R1G, R1H, R1I, R1J, R1K, R1L"
1,181-02000,12,"R2A, R2B, R2C, R2D, R2E, R2F, R2G, R2H, R2I, R2J, R2K, R2L"
1,160-00001,2,"TP1, TP2"
1,150-00078,12,"U1A, U1B, U1C, U1D, U1E, U1F, U1G, U1H, U1I, U1J, U1K, U1L"
1,150-00079,3,"U2, U3, U4"
