Added Component: Designator=J2(MS-3116 Size 20-41, Female)
Added Pin To Net: NetName=SG Pin=J2-aa
Added Pin To Net: NetName=A1OUT Pin=J2-A
Added Pin To Net: NetName=P2B Pin=J2-bb
Added Pin To Net: NetName=A2OUT Pin=J2-B
Added Pin To Net: NetName=S2Q2 Pin=J2-cc
Added Pin To Net: NetName=A3OUT Pin=J2-C
Added Pin To Net: NetName=S3 Pin=J2-dd
Added Pin To Net: NetName=A4OUT Pin=J2-D
Added Pin To Net: NetName=S2Q3 Pin=J2-ee
Added Pin To Net: NetName=P1B Pin=J2-E
Added Pin To Net: NetName=S1Q2 Pin=J2-ff
Added Pin To Net: NetName=P2A Pin=J2-F
Added Pin To Net: NetName=S1Q3 Pin=J2-gg
Added Pin To Net: NetName=P3B Pin=J2-G
Added Pin To Net: NetName=HEATER(+) Pin=J2-hh
Added Pin To Net: NetName=TGA Pin=J2-H
Added Pin To Net: NetName=HEATER(-) Pin=J2-ii
Added Pin To Net: NetName=S1Q1 Pin=J2-J
Added Pin To Net: NetName=S2Q1 Pin=J2-K
Added Pin To Net: NetName=RTDS(-) Pin=J2-L
Added Pin To Net: NetName=AGND Pin=J2-mm
Added Pin To Net: NetName=RTDF(-) Pin=J2-M
Added Pin To Net: NetName=AGND Pin=J2-nn
Added Pin To Net: NetName=P3A Pin=J2-N
Added Pin To Net: NetName=AGND Pin=J2-pp
Added Pin To Net: NetName=VRD Pin=J2-P
Added Pin To Net: NetName=AGND Pin=J2-qq
Added Pin To Net: NetName=AGND Pin=J2-rr
Added Pin To Net: NetName=P1A Pin=J2-R
Added Pin To Net: NetName=AGND Pin=J2-ss
Added Pin To Net: NetName=RG Pin=J2-S
Added Pin To Net: NetName=VOD Pin=J2-T
Added Pin To Net: NetName=AGND Pin=J2-tt
Added Pin To Net: NetName=VOG Pin=J2-U
Added Pin To Net: NetName=S1Q4 Pin=J2-V
Added Pin To Net: NetName=S2Q4 Pin=J2-W
Added Pin To Net: NetName=RTDF(+) Pin=J2-X
Added Pin To Net: NetName=RTDS(+) Pin=J2-Y
Added Pin To Net: NetName=TGB Pin=J2-Z
Added Member To Class: ClassName=Flex_Circuit Member=Component J2 MS3116-20-41
