Level,item_number,reference_designator,BOM_notes,Quantity
0,830-00019,,,
1,120-00002,"C1, C2, C17",,3
1,120-00058,"C3, C13, C21",,3
1,120-00010,"C4, C5, C7, C8, C10, C11, C14, C15, C19, C20, C22, C23",,12
1,120-00061,"C6, C9",,2
1,120-00027,"C12, C16, C24",,3
1,120-00062,C18,,1
1,120-00025,C25,,1
1,140-00014,"D1, D2, D5, D6",,4
1,140-00006,D3,,1
1,145-00018,F1,,1
1,145-00004,"F2, F3, F5, F6, F7",,5
1,145-00001,F4,,1
1,155-00003,FER3,,1
1,183-00004,K1,,1
1,125-00087,P1,,1
1,125-00012,"P2, P5",,2
1,125-00048,P3,,1
1,125-00356,P4,,1
1,195-00004,Q1,,1
1,195-00012,"Q2, Q3, Q6",,3
1,195-00013,"Q4, Q5",,2
1,195-00002,"Q7, Q8",,2
1,195-00011,Q9,,1
1,181-01003,"R1, R2, R3, R5, R7, R8, R10, R11",,8
1,181-01004,R4,,1
1,181-01002,R6,,1
1,181-01000,R9,,1
1,181-02151,R12,,1
1,181-01210,R13,,1
1,181-02050,R14,,1
1,185-00010,S1,,1
1,192-00001,T1,,1
1,192-00006,T2,,1
1,192-00005,T3,,1
1,192-00004,T4,,1
1,125-00013,"TP1, TP2, TP3, TP5, TP6, TP7, TP8, TP9, TP10, TP11, TP12, TP13, TP14, TP15",,14
1,150-00083,U1,,1
1,150-00076,U2,,1
1,150-00031,U3,,1
1,150-00109,U4,,1
1,150-00110,U5,,1
1,150-00112,U6,,1
1,150-00090,U7,,1
1,150-00111,U8,,1
1,150-00099,"U9, U10",,2
1,175-00023,Bare PCB,,1
1,160-00017,"HSU4, HSU5, HSU6, HSU8, HSU9, HSU10",,6
1,125-00357,"P2, P5",,2
1,450-00002,,"Top RT, Bot RT corners, inst from bottom",2
