Added Component: Designator=U1(SITe 1024 x 1024)
Added Pin To Net: NetName=A1OUT Pin=U1-1
Added Pin To Net: NetName=GND Pin=U1-2
Added Pin To Net: NetName=VRD Pin=U1-3
Added Pin To Net: NetName=RG Pin=U1-4
Added Pin To Net: NetName=VOD Pin=U1-5
Added Pin To Net: NetName=S2Q1 Pin=U1-6
Added Pin To Net: NetName=S1Q1 Pin=U1-7
Added Pin To Net: NetName=S3 Pin=U1-8
Added Pin To Net: NetName=S1Q2 Pin=U1-9
Added Pin To Net: NetName=S2Q2 Pin=U1-10
Added Pin To Net: NetName=VOD Pin=U1-11
Added Pin To Net: NetName=RG Pin=U1-12
Added Pin To Net: NetName=VRD Pin=U1-13
Added Pin To Net: NetName=GND Pin=U1-14
Added Pin To Net: NetName=A2OUT Pin=U1-15
Added Pin To Net: NetName=VDD Pin=U1-16
Added Pin To Net: NetName=GND Pin=U1-17
Added Pin To Net: NetName=SG Pin=U1-18
Added Pin To Net: NetName=TGA Pin=U1-19
Added Pin To Net: NetName=P2A Pin=U1-20
Added Pin To Net: NetName=P1A Pin=U1-21
Added Pin To Net: NetName=P3B Pin=U1-22
Added Pin To Net: NetName=P1B Pin=U1-23
Added Pin To Net: NetName=P2B Pin=U1-24
Added Pin To Net: NetName=TGB Pin=U1-25
Added Pin To Net: NetName=SG Pin=U1-26
Added Pin To Net: NetName=GND Pin=U1-27
Added Pin To Net: NetName=VDD Pin=U1-28
Added Pin To Net: NetName=A3OUT Pin=U1-29
Added Pin To Net: NetName=GND Pin=U1-30
Added Pin To Net: NetName=VRD Pin=U1-31
Added Pin To Net: NetName=RG Pin=U1-32
Added Pin To Net: NetName=VOD Pin=U1-33
Added Pin To Net: NetName=S1Q3 Pin=U1-34
Added Pin To Net: NetName=S2Q3 Pin=U1-35
Added Pin To Net: NetName=S3 Pin=U1-36
Added Pin To Net: NetName=S2Q4 Pin=U1-37
Added Pin To Net: NetName=S1Q4 Pin=U1-38
Added Pin To Net: NetName=VOD Pin=U1-39
Added Pin To Net: NetName=RG Pin=U1-40
Added Pin To Net: NetName=VRD Pin=U1-41
Added Pin To Net: NetName=GND Pin=U1-42
Added Pin To Net: NetName=A4OUT Pin=U1-43
Added Pin To Net: NetName=VDD Pin=U1-44
Added Pin To Net: NetName=GND Pin=U1-45
Added Pin To Net: NetName=SG Pin=U1-46
Added Pin To Net: NetName=TGB Pin=U1-47
Added Pin To Net: NetName=P2B Pin=U1-48
Added Pin To Net: NetName=P1B Pin=U1-49
Added Pin To Net: NetName=P3A Pin=U1-50
Added Pin To Net: NetName=P1A Pin=U1-51
Added Pin To Net: NetName=P2A Pin=U1-52
Added Pin To Net: NetName=TGA Pin=U1-53
Added Pin To Net: NetName=SG Pin=U1-54
Added Pin To Net: NetName=GND Pin=U1-55
Added Pin To Net: NetName=VDD Pin=U1-56
Added Member To Class: ClassName=CCD Socket Member=Component U1 SITe 1024 x 1024
