Level,item_number,reference_designator,Quantity
0,830-00053,,
1,120-00010,"C1, C2, C20",3
1,120-00006,"C4, C5, C8, C9, C10A, C10B, C19, C25",8
1,120-00002,"C6, C7, C15A, C15B, C16A, C16B",6
1,120-00007,"C11A, C11B, C12A, C12B, C13A, C13B, C18A, C18B",8
1,120-00056,"C14A, C14B, C17A, C17B",4
1,120-00001,"C21, C22, C23, C24",4
1,140-00001,D1,1
1,125-00023,J1,1
1,125-00003,J2,1
1,125-00052,J10,1
1,125-00032,P1,1
1,125-00110,P2,1
1,125-00012,P3,1
1,195-00010,"Q1A, Q1B",2
1,150-00072,"Q2A, Q2B",2
1,195-00004,Q3,1
1,181-01002,"R1, R3, R6, R17A, R17B",5
1,181-04020,"R2, R20",2
1,181-01000,R4,1
1,181-01502,R5,1
1,181-04990,R7,1
1,181-04991,"R8, R10",2
1,181-01003,"R9, R11",2
1,181-047R5,"R12A, R12B, R13A, R13B, R16A, R16B",6
1,181-01132,"R14A, R14B",2
1,181-04992,"R15A, R15B",2
1,181-05R36,"R18A, R18B",2
1,180-00011,"R19A, R19B",2
1,181-01501,R21,1
1,180-00007,RN1,1
1,160-00001,"TP3, TP4, TP5A, TP5B, TP6A, TP6B, TP7, TP8, TP9, TP10, TP11, TP12, TP13, TP14, TP15, TP16, TP17, TP18, TP19, TP20, TP21, TP22, TP23, TP24, TP25, TP26, TP27A, TP27B, TP28A, TP28B, TP29A, TP29B, TP30A, TP30B",34
1,830-00010,U1,1
1,150-00099,U2,1
1,150-00067,"U3, U5A, U5B",3
1,150-00106,"U4A, U4B",2
1,150-00031,U6,1
1,810-00003,XU1,1
