Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

           TARGET_MECHANICAL_5 -27864.189mil -16698.189mil       -624mil      -1091mil -27864.189mil -16698.189mil  T          0.00 Comment        
           TARGET_MECHANICAL_5 -27864.189mil -16698.189mil       7364mil       8065mil -27864.189mil -16698.189mil  T          0.00 Comment        
           TARGET_MECHANICAL_5 -27864.189mil -16698.189mil      -1340mil       8148mil -27864.189mil -16698.189mil  T          0.00 Comment        
U1         SuperFin_Footprint   2891.472mil   3340.677mil   3881.827mil    2600.52mil   3366.866mil   2583.197mil  T         90.00 SuperFin Module
J4         HEADER_2X30        996.047mil   2990.811mil    946.047mil   4440.811mil    946.047mil   4440.811mil  T        270.00 HDR 2x30   0.1"
J3         QSH-060-010-X-D-A   2496.047mil   3340.811mil   2496.047mil   3340.811mil   2609.039mil   4020.214mil  B        270.00 SAMTEC QSH-060-01-X-D-A
J2         QSH-060-010-X-D-A   3286.047mil   3340.811mil   3286.047mil   3340.811mil   3399.039mil   4020.214mil  B        270.00 SAMTEC QSH-060-01-X-D-A
J1         HEADER_2X30       3661.047mil   6891.811mil   5111.047mil   6941.811mil   5111.047mil   6941.811mil  T        180.00 HDR 2x30   0.1"
D104       LED_SMD_0402       805.047mil   1521.811mil    805.047mil   1521.811mil    805.047mil   1539.527mil  T        270.00 LED SMD 0402   
D103       LED_SMD_0402      1185.047mil   1639.811mil   1185.047mil   1639.811mil   1167.331mil   1639.811mil  T        360.00 LED SMD 0402   
D102       LED_SMD_0402       800.047mil   1659.811mil    800.047mil   1659.811mil    800.047mil   1642.094mil  T         90.00 LED SMD 0402   
D101       LED_SMD_0402       765.047mil   1521.811mil    765.047mil   1521.811mil    765.047mil   1504.094mil  T         90.00 LED SMD 0402   
D100       LED_SMD_0402       800.047mil   1759.811mil    800.047mil   1759.811mil    800.047mil   1742.094mil  T         90.00 LED SMD 0402   
D99        LED_SMD_0402       754.047mil   1658.311mil    754.047mil   1658.311mil    754.047mil   1676.027mil  T        270.00 LED SMD 0402   
D98        LED_SMD_0402      1175.047mil   1839.811mil   1175.047mil   1839.811mil   1157.331mil   1839.811mil  T        360.00 LED SMD 0402   
D97        LED_SMD_0402       800.047mil   1854.811mil    800.047mil   1854.811mil    800.047mil   1837.094mil  T         90.00 LED SMD 0402   
D96        LED_SMD_0402       760.047mil   1753.311mil    760.047mil   1753.311mil    760.047mil   1771.027mil  T        270.00 LED SMD 0402   
D95        LED_SMD_0402       752.047mil   1853.311mil    752.047mil   1853.311mil    752.047mil   1871.027mil  T        270.00 LED SMD 0402   
D94        LED_SMD_0402      1180.047mil   2039.811mil   1180.047mil   2039.811mil   1162.331mil   2039.811mil  T        360.00 LED SMD 0402   
D93        LED_SMD_0402       800.047mil   2054.811mil    800.047mil   2054.811mil    800.047mil   2037.094mil  T         90.00 LED SMD 0402   
D92        LED_SMD_0402       795.047mil   2154.811mil    795.047mil   2154.811mil    795.047mil   2137.095mil  T         90.00 LED SMD 0402   
D91        LED_SMD_0402       760.047mil   2054.811mil    760.047mil   2054.811mil    760.047mil   2072.528mil  T        270.00 LED SMD 0402   
D90        LED_SMD_0402       800.047mil   2259.811mil    800.047mil   2259.811mil    800.047mil   2242.095mil  T         90.00 LED SMD 0402   
D89        LED_SMD_0402      1180.047mil   2239.811mil   1180.047mil   2239.811mil   1162.331mil   2239.811mil  T        360.00 LED SMD 0402   
D88        LED_SMD_0402       757.047mil   2154.811mil    757.047mil   2154.811mil    757.047mil   2172.528mil  T        270.00 LED SMD 0402   
D87        LED_SMD_0402       805.047mil   2354.811mil    805.047mil   2354.811mil    805.047mil   2337.095mil  T         90.00 LED SMD 0402   
D86        LED_SMD_0402       759.047mil   2258.311mil    759.047mil   2258.311mil    759.047mil   2276.028mil  T        270.00 LED SMD 0402   
D85        LED_SMD_0402      1190.047mil   2449.811mil   1190.047mil   2449.811mil   1172.331mil   2449.811mil  T        360.00 LED SMD 0402   
D84        LED_SMD_0402       768.047mil   2350.811mil    768.047mil   2350.811mil    768.047mil   2368.528mil  T        270.00 LED SMD 0402   
D83        LED_SMD_0402       800.047mil   2554.811mil    800.047mil   2554.811mil    800.047mil   2537.095mil  T         90.00 LED SMD 0402   
D82        LED_SMD_0402      1190.047mil   2644.811mil   1190.047mil   2644.811mil   1172.331mil   2644.811mil  T        360.00 LED SMD 0402   
D81        LED_SMD_0402       805.047mil   2654.811mil    805.047mil   2654.811mil    805.047mil   2637.095mil  T         90.00 LED SMD 0402   
D80        LED_SMD_0402       759.047mil   2553.311mil    759.047mil   2553.311mil    759.047mil   2571.028mil  T        270.00 LED SMD 0402   
D79        LED_SMD_0402       800.047mil   2754.811mil    800.047mil   2754.811mil    800.047mil   2737.095mil  T         90.00 LED SMD 0402   
D78        LED_SMD_0402       765.047mil   2654.811mil    765.047mil   2654.811mil    765.047mil   2672.528mil  T        270.00 LED SMD 0402   
D77        LED_SMD_0402      1195.047mil   2839.811mil   1195.047mil   2839.811mil   1177.331mil   2839.811mil  T        360.00 LED SMD 0402   
D76        LED_SMD_0402       805.047mil   2864.811mil    805.047mil   2864.811mil    805.047mil   2847.095mil  T         90.00 LED SMD 0402   
D75        LED_SMD_0402       761.047mil   2754.811mil    761.047mil   2754.811mil    761.047mil   2772.528mil  T        270.00 LED SMD 0402   
D74        LED_SMD_0402       764.047mil   2862.811mil    764.047mil   2862.811mil    764.047mil   2880.528mil  T        270.00 LED SMD 0402   
D73        LED_SMD_0402      1195.047mil   3039.811mil   1195.047mil   3039.811mil   1177.331mil   3039.811mil  T        360.00 LED SMD 0402   
D72        LED_SMD_0402       805.047mil   3059.811mil    805.047mil   3059.811mil    805.047mil   3042.095mil  T         90.00 LED SMD 0402   
D71        LED_SMD_0402       810.047mil   3159.811mil    810.047mil   3159.811mil    810.047mil   3142.095mil  T         90.00 LED SMD 0402   
D70        LED_SMD_0402       768.047mil   3058.311mil    768.047mil   3058.311mil    768.047mil   3076.028mil  T        270.00 LED SMD 0402   
D69        LED_SMD_0402       805.047mil   3254.811mil    805.047mil   3254.811mil    805.047mil   3237.095mil  T         90.00 LED SMD 0402   
D68        LED_SMD_0402      1185.047mil   3244.811mil   1185.047mil   3244.811mil   1167.331mil   3244.811mil  T        360.00 LED SMD 0402   
D67        LED_SMD_0402       772.047mil   3158.311mil    772.047mil   3158.311mil    772.047mil   3176.028mil  T        270.00 LED SMD 0402   
D66        LED_SMD_0402       805.047mil   3354.811mil    805.047mil   3354.811mil    805.047mil   3337.095mil  T         90.00 LED SMD 0402   
D65        LED_SMD_0402       765.047mil   3254.811mil    765.047mil   3254.811mil    765.047mil   3272.528mil  T        270.00 LED SMD 0402   
D64        LED_SMD_0402      1175.047mil   3444.811mil   1175.047mil   3444.811mil   1157.331mil   3444.811mil  T        360.00 LED SMD 0402   
D63        LED_SMD_0402       765.047mil   3353.311mil    765.047mil   3353.311mil    765.047mil   3371.028mil  T        270.00 LED SMD 0402   
D62        LED_SMD_0402       801.047mil   3555.595mil    801.047mil   3555.595mil    801.047mil   3537.878mil  T         90.00 LED SMD 0402   
D61        LED_SMD_0402      1170.047mil   3639.811mil   1170.047mil   3639.811mil   1152.331mil   3639.811mil  T        360.00 LED SMD 0402   
D60        LED_SMD_0402       805.047mil   3654.811mil    805.047mil   3654.811mil    805.047mil   3637.095mil  T         90.00 LED SMD 0402   
D59        LED_SMD_0402       760.047mil   3554.811mil    760.047mil   3554.811mil    760.047mil   3572.528mil  T        270.00 LED SMD 0402   
D58        LED_SMD_0402       800.047mil   3754.811mil    800.047mil   3754.811mil    800.047mil   3737.095mil  T         90.00 LED SMD 0402   
D57        LED_SMD_0402       765.047mil   3654.811mil    765.047mil   3654.811mil    765.047mil   3672.528mil  T        270.00 LED SMD 0402   
D56        LED_SMD_0402      1170.047mil   3844.811mil   1170.047mil   3844.811mil   1152.331mil   3844.811mil  T        360.00 LED SMD 0402   
D55        LED_SMD_0402       800.047mil   3859.811mil    800.047mil   3859.811mil    800.047mil   3842.095mil  T         90.00 LED SMD 0402   
D54        LED_SMD_0402       760.047mil   3754.811mil    760.047mil   3754.811mil    760.047mil   3772.528mil  T        270.00 LED SMD 0402   
