Level,item_number,reference_designator,Quantity
0,830-00025,none,1
1,120-00002,"C1, C3A, C3B, C3C, C3D",5
1,120-00001,C2,1
1,120-00034,"C4A, C4B, C4C, C4D",4
1,120-00027,"C5A, C5B, C5C, C5D",4
1,140-00002,"D1A, D1B, D1C, D1D",4
1,125-00059,J1,1
1,155-00019,"L1A, L1B, L1C, L1D",4
1,125-00047,P1,1
1,195-00006,"Q1A, Q1B, Q1C, Q1D",4
1,181-R0500,"R1A, R1B, R1C, R1D",4
1,181-R0250,"R2A, R2B, R2C, R2D",4
1,181-01003,"R3A, R3B, R3C, R3D",4
1,185-00002,S1,1
1,160-00001,"TP1A, TP1B, TP1C, TP1D, TP2A, TP2B, TP2C, TP2D",8
1,150-00076,U1,1
1,150-00082,"U2A, U2B, U2C, U2D",4
1,150-00002,"U3A, U3B, U3C, U3D",4
1,175-00032,BarePCB,1
